date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),site number,site name
26/01/20,135.43,,107.88,48.81,100.81,,7.9,2.08,46.73,1.99,6.0,3.01,,3.01,3.99,,73.84,0.8,217.0,,0.0,69.81,780.96,-0.24,146,Vikas Sadan
26/01/20,125.88,229.96,20.08,19.2,39.27,,,2.5,10.16,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
26/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
26/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
27/01/20,120.52,,80.95,71.96,100.8,,6.9,1.51,29.96,2.0,6.01,3.03,,3.0,4.0,,69.03,0.83,125.14,,0.0,86.74,775.95,-0.18,146,Vikas Sadan
27/01/20,116.66,206.65,9.54,16.96,26.5,,,2.16,6.38,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
27/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
27/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
28/01/20,75.57,,4.96,62.17,34.1,,8.02,0.74,29.54,2.0,6.02,2.99,,3.0,4.02,,82.73,1.43,117.92,,0.0,95.8,773.83,-0.08,146,Vikas Sadan
28/01/20,103.53,156.34,5.82,8.63,14.46,,,1.94,6.44,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
28/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
28/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
29/01/20,43.18,,10.64,47.71,30.51,,8.92,0.73,43.89,1.99,6.01,2.99,,3.0,4.0,,78.09,0.75,211.03,,0.0,107.5,783.56,-0.2,146,Vikas Sadan
29/01/20,51.97,92.75,8.43,13.27,21.7,,,1.79,6.34,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
29/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
29/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
30/01/20,53.62,,6.89,44.72,25.73,,8.33,0.73,49.9,2.02,6.0,3.01,,3.01,3.99,,77.58,0.98,270.4,,0.0,125.26,785.22,-0.19,146,Vikas Sadan
30/01/20,67.44,126.56,9.24,17.1,26.35,,,1.85,6.21,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
30/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
30/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
31/01/20,58.23,,21.01,48.48,38.47,,8.99,1.01,49.77,2.01,5.97,3.0,,3.01,3.99,,79.73,0.81,231.65,,0.0,116.15,782.52,-0.21,146,Vikas Sadan
31/01/20,70.73,132.5,11.09,15.14,26.23,,,1.94,6.16,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
31/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
31/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
01/02/20,323.41,,201.22,73.75,289.42,,19.12,4.1,17.27,1.99,5.98,3.02,,3.0,4.01,,81.34,0.74,219.78,,0.0,84.18,790.03,-0.26,146,Vikas Sadan
01/02/20,226.24,281.8,10.93,9.17,20.11,,,3.96,41.71,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
01/02/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
01/02/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
02/02/20,68.94,,10.74,35.86,25.69,,8.36,2.25,53.41,2.0,6.01,3.03,,3.0,4.01,,77.34,0.87,240.7,,0.0,118.16,789.17,-0.21,146,Vikas Sadan
02/02/20,75.29,138.1,9.61,12.26,21.88,,,1.8,6.12,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
02/02/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
02/02/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
03/02/20,74.57,,57.34,50.41,70.24,,6.84,1.55,51.49,2.01,6.01,2.99,,3.0,3.99,,75.57,0.81,217.18,,0.0,166.92,774.92,-0.22,146,Vikas Sadan
03/02/20,74.96,142.99,19.9,22.27,42.18,,,1.85,41.83,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
03/02/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
03/02/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
04/02/20,30.8,,5.92,16.66,13.41,,8.01,0.41,68.34,2.01,6.0,3.01,,3.0,3.98,,51.16,1.09,232.42,,0.0,238.9,770.87,-0.14,146,Vikas Sadan
04/02/20,30.17,54.92,22.45,15.69,23.35,,,0.66,30.25,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
